Job ID,Job Title,Min Salary,Max Salary,Avg Salary,Hourly,Job Description,Company,Location,Rating,Headquarters,Size,Size Class,Founded,Age,Type Of Ownership,Competitors,Industry,Sector,Revenue,Revenue Class,Same State,Python,R,Spark,AWS,Excel,Job Simp,Skills Count
10,Data Scientist,126000,201000,163500,0,"At Wish, our Data Science & Engineering team is comprised of Data Scientists, Data Analysts & Data Engineers who focus on centralizing corporate data in order to gain insights, knowledge and scalability, that empower a proactive and rigorous analysis of key business indicators. Our mission is to derive wisdom from data via the application of Data Science.

Wish has exciting opportunities for talented Data Scientists to form the foundation of our centralized data science team.
Successful candidates will have extensive backgrounds in a quantitative fields and s track record of using data to drive the understanding, growth, and the success of a product. As a member of this team, you will be empowered and motivated to drive business impact through data.

#LI-WISHJWALL
As a Data Scientist at Wish, you will:
Apply statistics techniques to improve Wish’s experimentation platform and process.
Apply economics methodologies to understand and improve Wish’s two-sided marketplace.
Apply optimization techniques to impr...",Wish,"San Jose, CA",3.5,"San Francisco, CA",501 to 1000 employees,Class D,2011,12,Company - Private,-1,Other Retail Stores,Retail,$1 to $2 billion (USD),Class 4,0,1,0,0,0,0,data scientist,1
11,Data Scientist,64000,106000,85000,0,"Secure our Nation, Ignite your Future

Summary

The successful candidate will possess a diverse range of data-focused skills and experience, both technical and analytical. They will have a strong desire and capability for problem solving, data analysis and troubleshooting, analytical thinking, and experimentation.

Duties, Tasks & Responsibilities
Working with large, complex, and disparate data sets
Designing and implementing innovative ways to analyze and exploit the Sponsors data holdings
Researching and reporting on a wide variety of Sponsor inquiries
Raising proactive inquiries to the Sponsor based on observations and proposed data analysis/exploitation
Solving difficult, non-routine problems by applying advanced analytical methodologies, and improving analytic methodologies
Developing custom searches
Communicating and coordinating with internal and external partners as needed
Required Experience, Skills, & Technologies
Thorough knowledge of appropriate analytic tools and methodologies in one or more o...",ManTech,"Chantilly, VA",4.1,"Herndon, VA",5001 to 10000 employees,Class B,1968,55,Company - Public,-1,Research & Development,Business Services,$1 to $2 billion (USD),Class 4,0,0,0,0,0,0,data scientist,0
12,Staff Data Scientist - Technology,106000,172000,139000,0,"Position Summary...
Drives the execution of multiple business plans and projects by identifying customer and operational needs; developing and communicating business plans and priorities; removing barriers and obstacles that impact performance; providing resources; identifying performance standards; measuring progress and adjusting performance accordingly; developing contingency plans; and demonstrating adaptability and supporting continuous learning. Provides supervision and development opportunities for associates by selecting and training; mentoring; assigning duties; building a team-based work environment; establishing performance expectations and conducting regular performance evaluations; providing recognition and rewards; coaching for success and improvement; and ensuring diversity awareness. Promotes and supports company policies, procedures, mission, values, and standards of ethics and integrity by training and providing direction to others in their use and application; ensuring compliance with th...",Walmart,"Plano, TX",3.2,"Bentonville, AR",10000+ employees,Class A,1962,61,Company - Public,"Target, Costco Wholesale, Amazon","Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),Class 1,0,0,0,0,0,0,data scientist,0
13,Data Analyst,46000,85000,65500,0,"Are you an experienced Data Analyst, skilled at providing actionable data and insights to clients? Do you have a passion for using data to help people understand behavior and optimize business outcomes? Want to be part of a fun and high impact team?

Yesler is looking for a Data Analyst to join our growing B2B agency. You will play a pivotal role helping us connect data with strategic business goals to create data-driven marketing departments through expert construction and management of BI tools like Tableau or Power BI, as well as architecting data backend systems on platforms like Azure and AWS. You will gain exposure to a broad variety of paid, earned and owned channels, digital data sources, analytic techniques, technical infrastructure, and marketing challenges.

Key Responsibilities
You participate in the creation of client-facing measurement strategies, from KPI selection to data capture requirements
You develop and implement data analyses, data collection systems and other strategies
You consult o...",Yesler,"Seattle, WA",4.1,"Seattle, WA",201 to 500 employees,Class E,2012,11,Company - Private,-1,Advertising & Marketing,Business Services,Unknown,Unknown,1,1,0,1,1,1,analyst,4
14,Data Scientist,83000,144000,113500,0,"Job Description


Takeda is looking for a Data Scientist to join our Data Engineering and Artificial Intelligence team. We are looking for a Data Scientist who can use their Machine Learning, Deep Learning, Data Wrangling and Presentation skills to help deliver insights for our most difficult questions. You will work with the rest of the team to enable Takeda to continue its journey of data maturity, delivering outputs while educating others. You will be helping to solve some of the biggest question at Takeda and for healthcare in general.

Are you looking for a patient-focused, innovation-driven company that will inspire you and empower you to shine? Join us as a Data Scientist in our Cambridge, MA location.

POSITION OBJECTIVES:
Apply machine learning, deep learning and other advanced techniques while performing Data Analysis engagements. This is against structured and un-structured data sets, at small and large scale.
Independently perform complex analysis using modern Data Science techniques against st...",Takeda Pharmaceuticals,"Cambridge, MA",3.7,"OSAKA, Japan",10000+ employees,Class A,1781,242,Company - Public,"Novartis, Baxter, Pfizer",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Class 1,0,1,0,1,0,0,data scientist,2
15,Data Engineer I,102000,190000,146000,0,"This opportunity is within Audibles Data Engineering group. The Data Engineering group owns technology platforms and datasets that enable systems and people to uncover new insights and fine-tune operations to meet business goals. We need your help designing and building these.

KEY RESPONSIBILITIES
· Apply broad knowledge of technology options, technology platforms, design techniques and approaches across the Data Engineering ecosystem to build systems that meet business needs
· Build systems and datasets using software engineering best practices, data management fundamentals, data storage principles, recent advances in distributed systems, and operational excellence best practices
· Analyze source systems, define underlying data sources and transformation requirements, design suitable data models and document the design/specifications
· Demonstrate passion for quality and productivity by use of efficient development techniques, standards and guidelines
· Effectively communicate with various teams and stak...",Audible,"Newark, NJ",3.6,"Newark, NJ",1001 to 5000 employees,Class C,1995,28,Subsidiary or Business Segment,-1,Motion Picture Production & Distribution,Media,Unknown,Unknown,1,0,0,0,0,1,data engineer,1
16,"Scientist I/II, Biology",67000,137000,102000,0,"Scientist I/II, Biology

Cambridge, MA

BIO20-901

At Blueprint Medicines, we are creating a blueprint for the future of healthcare. We are a leading company in the personalized medicine revolution by focusing on delivering new medicines that are targeted to the genetic driver of disease. We do this by leveraging our one-of-a-kind drug discovery platform to discover, develop and work to bring highly-selective kinase inhibitors to patients globally. This prolific scientific platform has enabled Blueprint Medicines to build a pipeline of novel therapies that span three distinct areas of medicine; genomically defined cancers, rare diseases and cancer immunotherapy.

[Objective of position]

Responsibilities:

Blueprint Medicines is seeking a highly motivated, experienced and collaborative laboratory scientist to work within a cross-functional team to expand our small-molecule drug discovery platform. The individual should possess strong core competency in cell and molecular biology and protein degradation, as...",Blueprint Medicines,"Cambridge, MA",3.9,"Cambridge, MA",51 to 200 employees,Class F,2011,12,Company - Public,"bluebird bio, Agios Pharmaceuticals, Celgene",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),Class 11,1,0,0,0,0,1,na,1
17,Customer Data Scientist,118000,189000,153500,0,"Company Overview

H2O.ai is the open source leader in AI with a mission to democratize AI for everyone. H2O.ai is transforming the use of AI with software with its category-creating visionary open source machine learning platform, H2O. More than 18,000 companies use open-source H2O in mission-critical use cases for Finance, Insurance, Healthcare, Retail, Telco, Sales and Marketing. H2O Driverless AI uses ""AI to do AI"" in order to provide an easier, faster and cost-effective means of implementing data science. H2O.ai partners with leading technology companies such as NVIDIA, IBM, AWS, Intel, Microsoft Azure and Google Cloud Platform and is proud of its growing customer base which includes Capital One, Progressive Insurance, Comcast, Walgreens and MarketAxess. For more information and to learn more about how H2O.ai is driving an AI Transformation, visit www.h2o.ai.

Job Summary:
Can you code proficiently in at least one language used by data scientists and/or data engineers, and does it excite you to learn m...",h2o.ai,"Mountain View, CA",4.3,"Mountain View, CA",201 to 500 employees,Class E,2011,12,Company - Private,-1,Enterprise Software & Network Solutions,Information Technology,Unknown,Unknown,1,1,0,1,1,1,data scientist,4
18,Data Scientist - Health Data Analytics,110000,175000,142500,0,"At Nuna, our mission is to make high-quality healthcare affordable for everyone. We are dedicated to tackling one of our nation's biggest problems with ingenuity, creativity, and a keen moral compass.

Nuna is committed to simple principles: a rigorous understanding of data, modern technology, and most importantly, compassion and care for our fellow human. We want to know what really works, what doesn't—and why.

Nuna partners with healthcare payers, including government agencies and health plans, to turn data into learnings and information into meaning.

YOUR TEAM


Nuna's Meaningful Matches product strives to improve cost, quality, and patient satisfaction by guiding patients to the right primary care physician (PCP) for their healthcare needs.

To do this, we've built a data processing pipeline that combines the state of the art in provider performance measurement with machine learning and optimization. We serve our match recommendations to clients via API endpoints that they can seamlessly integrate wi...",Nuna,"San Francisco, CA",4.2,"San Francisco, CA",51 to 200 employees,Class F,2010,13,Company - Private,-1,Enterprise Software & Network Solutions,Information Technology,Unknown,Unknown,1,0,0,0,0,0,data scientist,0
19,Data Scientist,64000,111000,87500,0,"Pinnacol Assurance does just one thing, and does it better than anyone: provide caring workers' compensation protection to Colorado employers and employees. And while we may be a little biased, we believe that our work shapes communities and changes lives.

We have big hearts and love big ideas. We celebrate continuous improvement, innovation, compassion, teamwork, integrity and excellence. Speaking of celebrating, we love having fun at work. We host holiday parties, on-site painting classes, and employees love our yoga classes and book club, too.

What you'll do:

You will work with medical, claims, and policy related data that comes in a variety of formats – structured and unstructured - to generate insights and embed artificial intelligence into applications. As a Data Scientist, you will work with internal teams to:
Extract and clean data from various sources
apply tools and methods to transform or enrich data for an array of possible uses
build creative solutions for a variety of problems of interest ...",Pinnacol Assurance,"Denver, CO",4,"Denver, CO",501 to 1000 employees,Class D,1915,108,Nonprofit Organization,-1,Insurance Carriers,Insurance,$500 million to $1 billion (USD),Class 5,1,1,0,0,0,1,data scientist,2
20,Data Scientist,81000,130000,105500,0,"About Our Team

We understand that the first step to a successful home project and a happy homeowner starts with finding the right pro. Our Data Science team is at the center of the matching process, and, as a contributing member of that team, you will build real-time predictive models and evaluate their performance to ensure that homeowners connect with the most qualified contractors.
As a data scientist, you will collaborate with a talented team of data scientists on a broad array of technically challenging problems.
You will play an integral role in providing optics into how our real-time prediction capabilities drive value into our marketplace, as well as performing market segmentation to deliver the right message to the right consumer as you build up machine learning skills.
If you are highly analytical, enjoy a collaborative work environment that encourages mentorship and learning, and have a strong intellectual curiosity to solve customer problems, the Data Science team at Porch just might be the pl...",Porch,"Seattle, WA",3.2,"Seattle, WA",201 to 500 employees,Class E,2012,11,Company - Private,"Angie's List, HomeAdvisor, Thumbtack",Internet,Information Technology,Unknown,Unknown,1,1,0,1,0,0,data scientist,2
21,Senior Data Scientist / Machine Learning,73000,119000,96000,0,"IMMEDIATE NEED FOR A SENIOR DATA SCIENTIST / MACHINE LEARNER

The Senior Data Scientist/Machine Learning, as part of Health IQ’s Business Insights team, uses predictive analytics and innovative machine learning models to create value from data. This role is at the heart of finding and proving innovative solutions and is responsible for developing and driving strategic modeling initiatives while maintaining a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.

As a Senior Data Scientist / Machine Learning, you will serve as a technical and thought leader on this diverse and highly skilled team. You will design and develop inventive solutions to drive innovation and delivery of organizational value. You’ll synthesize large datasets and solve complex problems through the use of advanced machine learning and statistical modeling. You’ll work in a highly collaborative, team environment, guiding and mentoring junior data scientists and co...",Health IQ,"Dallas, TX",3.9,"Mountain View, CA",201 to 500 employees,Class E,2013,10,Company - Private,-1,Insurance Agencies & Brokerages,Insurance,Unknown,Unknown,0,0,0,0,0,1,data scientist,1
22,Data Scientist - Quantitative,86000,139000,112500,0,"Truckstop.com is hiring a Data Scientist for our Chicago, Illinois location

About Truckstop.com

Truckstop.com is one of the largest online freight matching services in the trucking industry, providing a one-stop connection between carriers and brokers. Founded in 1995 as the first freight-matching marketplace to hit the Web, Truckstop.com has grown to provide load planning, transportation management, route optimization, real-time rates, powerful negotiation tools, and other logistics solutions. Clickhere to learn more about Truckstop.com’s history.

Truckstop.com is backed by ICONIQ Capital, a privately-held financial advisory and technology growth equity investment firm. ICONIQ is a trusted advisor fostering meaningful strategic relationships across industries to source powerful ideas, magnify global impact and support a new generation of entrepreneurs and companies.

About our Culture

Truckstop is a destination where talented individuals can build an epic career. It is a place where talent feels conne...",Truckstop.com,"Chicago, IL",3.8,"New Plymouth, ID",501 to 1000 employees,Class D,1995,28,Company - Private,-1,Logistics & Supply Chain,Transportation & Logistics,Unknown,Unknown,0,1,0,0,1,1,data scientist,3
23,Data Scientist,63000,105000,84000,0,"Position Summary
Our Data Science team is currently in need of a Data Scientist to join our growing organization. The ideal candidate will be intricately involved in running analytical studies in a methodical manner, and will regularly evaluate alternate models via theoretical approaches. This is the perfect opportunity for the successful candidate to become a part of an innovative and energetic team that develops analysis tools and processes which will influence both our products and our clients.

This position will analyze, develop, and update data, programs, documents, and visualizations for large external clients, along with internal new and existing projects/products, and for support of various departments within SMC³. This position requires proficiency in creative thinking and logic application. We value creativity, communication and a positive attitude.

Key Job Functions

•Develop a complete understanding of our business problems and how we use data to solve them
•Parse, standardize, and analyze la...",SMC 3,"Louisville, KY",4.3,"Peachtree City, GA",51 to 200 employees,Class F,1935,88,Nonprofit Organization,-1,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),Class 9,0,1,0,0,0,1,data scientist,2
24,Data Scientist,109000,177000,143000,0,"Are you passionate about solving challenging problems?
Do you thrive being a critical part of an elite team of like-minded people?
How would you like for your next career move to take you to the next level?

If any of this sounds appealing, look no further.

Job Description:

Novetta is seeking a Data Scientist who wants to develop innovative solutions for customers and internal product teams. We look to rapidly prototype solutions and deploy the most promising of them. We identify and leverage the latest techniques (fast.ai is a team favorite) so that our customers can stay one step ahead. On every project you'll learn something new (and likely teach us something as well). If that sounds appealing to you - we'd love to chat.

Responsibilities include:
Develop solutions spanning multiple subject areas, from NLP to Image and Video.
Maintain awareness of state-of-the-art machine learning and techniques, methods and platforms, including commercial and open source.
Implement, configure and test machine learnin...",Novetta,"Herndon, VA",4,"Mc Lean, VA",501 to 1000 employees,Class D,2012,11,Company - Private,"Leidos, CACI International, Booz Allen Hamilton",Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),Class 6,0,1,0,0,1,0,data scientist,2
25,Digital Health Data Scientist,63000,110000,86500,0,"ROLE SUMMARY

The Digital Health Data Scientist supports Digital Medicine & Translational Imaging projects from inception to completion by leveraging her/his technical expertise. S/he guides the selection of devices, writes code to ingest data from these devices, implements the pipelines for bringing together data from multiple sources and develops novel digital biomarkers by using advanced signal processing and machine learning techniques.

The Digital Health Data Scientist is a key member of the Digital Medicine team and partners closely with the scientific and clinical team members, applying technical, software development and analytics knowledge to support the research, development and deployment of digital biomarkers in clinical trials.

ROLE RESPONSIBILITIES
Use structured and unstructured data to develop digital biomarkers by implementing novel signal processing and machine learning workflows
Engineer and extract features from raw data that capture clinically relevant aspects of disease symptoms
Dev...",Pfizer,"Cambridge, MA",4,"New York, NY",10000+ employees,Class A,1849,174,Company - Public,-1,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Class 1,0,1,0,0,1,1,data scientist,3
26,Data Scientist,75000,124000,99500,0,"As the Enterprise Data and Analytics Center of Excellence, we empower First Tech business leaders to drive differentiating member experiences and business value by leveraging information and insights. Key responsibilities of the Advanced Analytics Data Scientist include interfacing with all business stake holders to formulate the right business questions, address them with scientific rigor, design, implement, test, productize, monitor and document data science assets effectively, evangelize data science to the organization and contribute to rendering First Tech data-driven.

Here's what you can expect from the job and what you need to be successful:

Job Duties
Accelerate stakeholder and First Tech business growth and success with meaningful insights gained via advanced analytics models and solutions targeted to answer the most important business questions
Consult stakeholders about how advanced analytics and a data-driven approach can help them achieve greater success in driving their business units. Evan...",First Tech Federal Credit Union,"Hillsboro, OR",3.5,"San Jose, CA",1001 to 5000 employees,Class C,1952,71,Company - Private,-1,Banks & Credit Unions,Finance,$100 to $500 million (USD),Class 6,0,1,0,1,1,1,data scientist,4
27,Associate Data Analyst,34000,61000,47500,0,"Friday, January 17, 2020

Our Enterprise Data and Analytics group is looking for an Associate Data Analyst to join our growing team in our Worcester Headquarters.

Position summary:

Applies analytical skills to the development and enhancement of unique proprietary business tools that drive the optimization and consolidation of Agent partners business and are strategic differentiator to the unique Hanover business model. Assists in developing tools, processes and reporting analytics in support of business growth and ongoing business needs. Communicates with customers, external partners and internal departments frequently.

This is a full-time, exempt role.

Responsibilities/Essential Functions:

• With oversight, provides support to complex business/technical processes and tools for multiple products, requiring the use of technical solutions across multiple departments or lines of business. • Serve as a team member on projects of large scope and moderate to high complexity. Able to work independently with ...",The Hanover Insurance Group,"Worcester, MA",3.7,"Worcester, MA",5001 to 10000 employees,Class B,1852,171,Company - Public,-1,Insurance Carriers,Insurance,$5 to $10 billion (USD),Class 2,1,0,0,0,0,1,analyst,1
28,Clinical Data Scientist,63000,105000,84000,0,"THIS ROLE MUST BE BASED IN SAN DIEGO

As part of the Data Monitoring and Management group, an integral delivery unit within the Global Product Development (GPD) organization, the Clinical Data Scientist is responsible for timely and high quality data management deliverables supporting the Pfizer portfolio. The Clinical Data Scientist designs, develops, and maintains key data management deliverables used to collect, review, monitor, and ensure the integrity of clinical data, oversees application of standards, data review and query management, and is accountable for quality study data set release and consistency in asset/submission data.

ROLE RESPONSIBILITIES
Serve as Clinical Data Scientist for one or more clinical trials assuming responsibility for all DM&M activities including selection and application of data acquisition standards, Data Management Plan, selection of quality risk indicators, third party study data due diligence
Participates and ensures quality database design including documentation, tes...",Pfizer,"Groton, CT",4,"New York, NY",10000+ employees,Class A,1849,174,Company - Public,-1,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Class 1,0,0,0,0,1,1,data scientist,2
29,Data Scientist,80000,90000,85000,0,"KnowBe4, Inc. is a high growth information security company. We are the world's largest provider of new-school security awareness training and simulated phishing. KnowBe4 was created to help organizations manage the ongoing problem of social engineering. Tens of thousands of organizations worldwide use KnowBe4's platform to mobilize their end users as a last line of defense and enable them to make better security decisions, every day.

We are ranked #1 best place to work in technology nationwide by Fortune Magazine and have placed #1 or #2 in The Tampa Bay Top Workplaces Survey for the last four years. We also just had our 27th record-setting quarter in a row!

The Data Scientist will work closely with the VP of FP&A and the Quantitative Analytics Manager to implement advanced analytical models and other data-driven solutions.

Responsibilities:
Work with key stakeholders throughout the organization to identify opportunities using financial data to develop business solutions.
Develop new and enhance existi...",KnowBe4,"Clearwater, FL",4.8,"Clearwater, FL",501 to 1000 employees,Class D,2010,13,Company - Private,-1,Security Services,Business Services,$100 to $500 million (USD),Class 6,1,1,0,1,0,1,data scientist,3
